epoch,loss,dino_loss,geo_loss,lr,global_param_delta_l2,global_param_delta_max,global_param_changed_keys
0,6.9294538619800115,6.923667855917836,0.1157200591870771,0.0001,3.1483975164850326,0.02549447864294052,69
1,6.935632958579749,6.931172922396431,0.08920071652522102,0.0001,1.6100711806654466,0.03141338378190994,69
2,6.934392139934503,6.929374448026712,0.10035387231423833,0.0001,2.67113844583134,0.03034932166337967,69
3,6.915815673316248,6.9115376822864665,0.08555994898128433,0.0001,2.8553014428841252,0.03245851397514343,69
4,6.722927972531547,6.718732827768539,0.08390300318646354,0.0001,3.2447789908189506,0.02918737754225731,69
5,5.586625766449462,5.5824532242247855,0.08345068795993306,0.0001,3.407376827304261,0.021150268614292145,69
6,3.552371829081648,3.5483875202294737,0.07968621217785551,0.0001,2.6118206990216253,0.018918409943580627,69
7,1.985915513465199,1.9821198967318185,0.07591228826215472,0.0001,2.1334731827144693,0.01573871821165085,69
8,1.2166201816961026,1.2129383801271358,0.07363605845612459,0.0001,1.8682274867730384,0.014167667366564274,69
9,0.881793351028674,0.8783069832827717,0.06972736786729611,0.0001,1.4862077794598862,0.017832104116678238,69
10,0.7951488697681183,0.7917116166303714,0.06874505800608628,0.0001,1.435722212712869,0.011571470648050308,69
11,0.7686679619379317,0.7652928368352092,0.06750250957644405,0.0001,1.4726533623333165,0.012900399044156075,69
12,0.7100552140523831,0.7067255185434993,0.06659393875410381,0.0001,1.3277179191004855,0.014682156965136528,69
13,0.7082164090947983,0.7048945820655305,0.06643654165652613,0.0001,1.5106605246137947,0.015849079936742783,69
14,0.6782875895119322,0.6750494765397459,0.06476229186446522,0.0001,1.1894331477019466,0.015283173881471157,69
15,0.6529447525834885,0.6497208578660846,0.06447790680935207,0.0001,1.1408580214013688,0.013332372531294823,69
16,0.668642058968544,0.665461933174834,0.06360252989462009,0.0001,1.2717194025480751,0.014048993587493896,69
17,0.6439015730120503,0.6407098713012549,0.0638340480459003,0.0001,1.2434461570150896,0.01339813508093357,69
18,0.6496828415523321,0.6465004333577598,0.06364813744545744,0.0001,1.1986791220077047,0.015266455709934235,69
19,0.6436157865455737,0.6404870505721424,0.06257474211791453,0.0001,1.2541667075783407,0.016363024711608887,69
20,0.6411717774007267,0.6379964434967255,0.06350668657797214,0.0001,1.3242870440614685,0.014620073139667511,69
21,0.6434374023645449,0.6402680970038088,0.0633860818518046,0.0001,1.4563744430855312,0.012024810537695885,69
22,0.6240597837173139,0.6209728733038369,0.061738181216552994,0.0001,1.1982288094094742,0.012740090489387512,69
23,0.6338679118278309,0.630750688024984,0.062344439446735685,0.0001,1.3212532213166133,0.012688903138041496,69
24,0.6107756396452078,0.6077040694773007,0.061431390623124645,0.0001,1.2165547996793014,0.011929744854569435,69
25,0.6483582446750361,0.6452656299256669,0.061852294094741536,0.0001,1.2027104464240395,0.01405290886759758,69
26,0.6311243645870648,0.6280606965096994,0.061273347800627306,0.0001,1.2660241618103418,0.01739281788468361,69
27,0.6301730206599251,0.6271469402141845,0.06052159500150635,0.0001,1.1607222393804493,0.011735521256923676,69
28,0.6229095080980478,0.6198522483293241,0.061145176926550394,0.0001,1.2859674583244112,0.015965010970830917,69
29,0.6092117853914968,0.606135222572869,0.0615312635493926,0.0001,1.3639110639909142,0.014581143856048584,69
