patch,mesh,nearest_patch,nearest_mesh,same_mesh,token_cos,geometry_dist,normal_var,linearity,planarity,surface_var
12,shapenet/02691156/577ef32f6c313a5e4ca16f43c2716caf,30,shapenet/02691156/f50eba69a3be1a1e536cfc00d8c31ac5,0,0.9238095879554749,3.2143726348876953,0.3581539988517761,0.4625648856163025,0.5084776282310486,0.17567607760429382
13,shapenet/02691156/577ef32f6c313a5e4ca16f43c2716caf,24,shapenet/04379243/a96c429fad0af4c6bd1cdc725a461877,0,0.858445405960083,2.1251349449157715,0.3966867923736572,0.36697661876678467,0.607636570930481,0.16003811359405518
14,shapenet/02691156/577ef32f6c313a5e4ca16f43c2716caf,31,shapenet/02691156/f50eba69a3be1a1e536cfc00d8c31ac5,0,0.7145117521286011,1.26206636428833,0.43865346908569336,0.12169130146503448,0.43855664134025574,0.1295699179172516
15,shapenet/02691156/577ef32f6c313a5e4ca16f43c2716caf,54,shapenet/04379243/8e3bfa092e83c28d55f46d55537192b6,0,0.8797147274017334,3.0595192909240723,0.5117818117141724,0.7162716388702393,0.2597239017486572,0.1601538211107254
16,shapenet/02691156/29b92db18649b64e959a8a7d5a8a5077,18,shapenet/02691156/29b92db18649b64e959a8a7d5a8a5077,1,0.7566691040992737,1.982426643371582,0.40283268690109253,0.39946576952934265,0.25208598375320435,0.027291029691696167
17,shapenet/02691156/29b92db18649b64e959a8a7d5a8a5077,39,shapenet/02691156/b7b657d7db3c3b8cd13ef00338ba8c52,0,0.970517635345459,1.0641982555389404,0.053098488599061966,0.9149214625358582,0.08145005255937576,0.09712818264961243
18,shapenet/02691156/29b92db18649b64e959a8a7d5a8a5077,97,shapenet/02691156/5e9129782c45b26992e39b8eae3e6b15,0,0.8898150324821472,0.7915077209472656,0.3862803280353546,0.21950100362300873,0.126357764005661,0.10233508050441742
19,shapenet/02691156/29b92db18649b64e959a8a7d5a8a5077,97,shapenet/02691156/5e9129782c45b26992e39b8eae3e6b15,0,0.8923810124397278,1.1614047288894653,0.4484300911426544,0.4144573509693146,0.06819836795330048,0.14022982120513916
20,shapenet/03642806/241ec8a746dd1cfc78f71a335ebabfa5,22,shapenet/03642806/241ec8a746dd1cfc78f71a335ebabfa5,1,0.9086548089981079,2.5272998809814453,0.041653405874967575,0.4906015396118164,0.502348780632019,0.09199361503124237
21,shapenet/03642806/241ec8a746dd1cfc78f71a335ebabfa5,107,shapenet/04330267/54b9ac27f2bae92627a11dcb35000f7a,0,0.9598393440246582,0.5190423727035522,0.33831140398979187,0.281074583530426,0.64992755651474,0.12885303795337677
22,shapenet/03642806/241ec8a746dd1cfc78f71a335ebabfa5,20,shapenet/03642806/241ec8a746dd1cfc78f71a335ebabfa5,1,0.9086548089981079,2.5272998809814453,0.043477509170770645,0.07062052190303802,0.9198206663131714,0.09036348760128021
